id	ranking	korTitle	releaseData	sales	audience	nation	producer	year	poster	movieId
114	4	밀정	20160907	61269783831	7500420	한국	워너브러더스 코리아(주)	2016	http://file.koreafilm.or.kr/thm/02/00/04/28/tn_DPK011707.jpg	8478
115	5	터널	20160810	57529484417	7120508	한국	(주)쇼박스	2016	http://file.koreafilm.or.kr/thm/02/00/04/34/tn_DPF013129.jpg	8474
116	6	인천상륙작전	20160727	55101410303	7049643	한국	씨제이이앤엠(주)	2016	http://file.koreafilm.or.kr/thm/02/00/04/27/tn_DPK011663.jpg	8460
117	7	럭키	20161013	56444461256	6975290	한국	(주)쇼박스	2016	http://file.koreafilm.or.kr/thm/02/00/04/29/tn_DPK011730.jpg	8527
118	8	곡성	20160512	55863520382	6879908	한국	이십세기폭스코리아(주)	2016	http://file.koreafilm.or.kr/thm/02/00/04/25/tn_DPK011530.jpg	8230
119	9	덕혜옹주	20160803	44393828109	5599229	한국	롯데쇼핑㈜롯데엔터테인먼트	2016	http://file.koreafilm.or.kr/thm/02/00/04/26/tn_DPK011614.jpg	8458
120	10	닥터 스트레인지	20161026	47481830396	5446239	미국	월트디즈니컴퍼니코리아(주)	2016	http://file.koreafilm.or.kr/thm/02/00/04/29/tn_DPF012835.jpg	5475
121	1	택시운전사	20170802	95853645649	12186327	한국	(주)쇼박스	2017	http://file.koreafilm.or.kr/thm/02/00/04/43/tn_DPK012445.jpg	8602
122	2	신과함께-죄와 벌	20171220	68350496432	8539495	한국	롯데쇼핑㈜롯데엔터테인먼트	2017	http://file.koreafilm.or.kr/thm/02/00/04/55/tn_DPK012925.jpg	8615
123	3	공조	20170118	63783051326	7817618	한국	씨제이이앤엠(주)	2017	http://file.koreafilm.or.kr/thm/02/00/04/68/tn_DPK013549.jpg	8569
124	4	스파이더맨: 홈 커밍	20170705	59125813820	7258678	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점	2017	http://file.koreafilm.or.kr/thm/02/00/04/44/tn_DPF013550.jpg	5585
125	5	범죄도시	20171003	56318014149	6879841	한국	메가박스중앙(주)플러스엠 (주)키위미디어그룹	2017	http://file.koreafilm.or.kr/thm/02/00/04/53/tn_DPK012845.jpg	8672
126	6	군함도	20170726	50510565168	6592151	한국	씨제이이앤엠(주)	2017	http://file.koreafilm.or.kr/thm/02/00/04/62/tn_DPK013239.jpg	8587
127	7	청년경찰	20170809	44381150516	5653270	한국	롯데쇼핑㈜롯데엔터테인먼트	2017	http://file.koreafilm.or.kr/thm/02/00/04/44/tn_DPK012482.jpg	8642
128	8	더 킹	20170118	43488814535	5317693	한국	(주)넥스트엔터테인먼트월드(NEW)	2017	http://file.koreafilm.or.kr/thm/02/00/04/66/tn_DPK013430.jpg	8565
129	9	미녀와 야수	20170316	42133751579	5138328	미국	월트디즈니컴퍼니코리아 유한책임회사	2017	http://file.koreafilm.or.kr/thm/02/00/02/63/tn_DPF006375.JPG	4699
130	10	킹스맨: 골든 서클	20170927	40987484736	4945484	미국	이십세기폭스코리아(주)	2017	http://file.koreafilm.or.kr/thm/02/00/04/47/tn_DPF013715.jpg	5643
131	1	신과함께-인과 연	20180801	1.03E+11	12274996	한국	롯데컬처웍스(주)롯데엔터테인먼트	2018	http://file.koreafilm.or.kr/thm/02/00/04/57/tn_DPK013042.jpg	8771
132	2	어벤져스: 인피니티 워	20180425	99926399769	11212710	미국	월트디즈니컴퍼니코리아 유한책임회사	2018	http://file.koreafilm.or.kr/thm/02/00/04/54/tn_DPF014055.jpg	5882
133	3	보헤미안 랩소디	20181031	80010440345	9224582	미국	이십세기폭스코리아(주)	2018	http://file.koreafilm.or.kr/thm/02/00/04/83/tn_DPF015379.jpg	6024
134	4	미션 임파서블: 폴아웃	20180725	55888375112	6584915	미국	롯데컬처웍스(주)롯데엔터테인먼트	2018	http://file.koreafilm.or.kr/thm/02/00/04/57/tn_DPF014206.jpg	5928
135	5	신과함께-죄와 벌	20171220	47355583705	5872007	한국	롯데쇼핑㈜롯데엔터테인먼트	2018	http://file.koreafilm.or.kr/thm/02/00/04/55/tn_DPK012925.jpg	8615
136	6	쥬라기 월드: 폴른 킹덤	20180606	49770711037	5661128	미국	유니버설픽쳐스인터내셔널 코리아(유)	2018	https://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=154285	5892
137	7	앤트맨과 와스프	20180704	47468053685	5448134	미국	월트디즈니컴퍼니코리아 유한책임회사	2018	https://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=144330	5913
138	8	안시성	20180919	46335334026	5440186	한국	(주)넥스트엔터테인먼트월드(NEW)	2018	http://file.koreafilm.or.kr/thm/02/00/04/63/tn_DPK013262.jpg	8780
139	9	블랙 팬서	20180214	45885123957	5399227	미국	월트디즈니컴퍼니코리아 유한책임회사	2018	http://file.koreafilm.or.kr/thm/02/00/04/51/tn_DPF013899.jpg	5729
140	10	완벽한 타인	20181031	44350807074	5293435	한국	롯데컬처웍스(주)롯데엔터테인먼트	2018	http://file.koreafilm.or.kr/thm/02/00/04/70/tn_DPK013723.jpg	8803
141	1	극한직업	20190123	1.40E+11	16265618	한국	씨제이이앤엠(주)	2019	http://file.koreafilm.or.kr/thm/02/00/04/85/tn_DPK014285.jpg	8866
142	2	어벤져스: 엔드게임	20190424	1.22E+11	13934592	미국	월트디즈니컴퍼니코리아 유한책임회사	2019	http://file.koreafilm.or.kr/thm/02/00/05/14/tn_DPF018019.jpg	6213
143	3	겨울왕국 2	20191121	1.12E+11	13369065	미국	월트디즈니컴퍼니코리아 유한책임회사	2019	http://file.koreafilm.or.kr/thm/02/00/05/35/tn_DPF019295.jpg	8980
144	4	알라딘	20190523	1.07E+11	12552283	미국	월트디즈니컴퍼니코리아 유한책임회사	2019	http://file.koreafilm.or.kr/thm/02/00/05/16/tn_DPF018168.jpg	6072
145	5	기생충	20190530	85883963645	10085275	한국	씨제이이앤엠(주)	2019	http://file.koreafilm.or.kr/thm/02/00/05/15/tn_DPK014533.jpg	8848
146	6	엑시트	20190731	79232012162	9426011	한국	씨제이이앤엠(주)	2019	http://file.koreafilm.or.kr/thm/02/00/05/27/tn_DPK014851.jpg	8925
147	7	스파이더맨: 파 프롬 홈	20190702	69010000100	8021145	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점	2019	http://file.koreafilm.or.kr/thm/02/00/05/20/tn_DPF018420.jpg	6313
148	8	백두산	20191219	52905851770	6290508	한국	씨제이이앤엠(주) (주)덱스터스튜디오	2019	http://file.koreafilm.or.kr/poster/00/05/40/DPK015280_01.jpg	8981
149	9	캡틴 마블	20190306	51507488723	5802810	미국	월트디즈니컴퍼니코리아 유한책임회사	2019	http://file.koreafilm.or.kr/thm/02/00/04/90/tn_DPF015905.jpg	6095
150	10	조커	20191002	45381075450	5247874	미국	워너브러더스 코리아(주)	2019	http://file.koreafilm.or.kr/thm/02/00/05/32/tn_DPF019124.jpg	6380
